question_id,platform,status,ok,text_length,reference_items,citation_markers,source_nodes,url,prompt,error
"q01","deepseek","ok","true","2559","0","0","0","https://chat.deepseek.com/a/chat/s/91d67ca9-e8f1-40c9-a881-8eea8b720204","心血管：心律管理/心衰/远程监测里，美敦力和Abbott、其他竞品怎么选？",""
"q01","yuanbao","ok","true","4598","12","22","52","https://yuanbao.tencent.com/chat/naQivTmsDa/0NVTiSEOoCm","心血管：心律管理/心衰/远程监测里，美敦力和Abbott、其他竞品怎么选？",""
"q02","deepseek","ok","true","1324","0","0","0","https://chat.deepseek.com/a/chat/s/514c7e6a-97ef-473c-a2e3-471af8aa2c56","心律管理/心衰/远程监测设备或耗材，总拥有成本 美敦力会比国产或其他进口品牌贵多少？",""
"q02","yuanbao","ok","true","3798","11","12","42","https://yuanbao.tencent.com/chat/naQivTmsDa/0NVTps5huAy","心律管理/心衰/远程监测设备或耗材，总拥有成本 美敦力会比国产或其他进口品牌贵多少？",""
"q03","deepseek","ok","true","2760","0","0","0","https://chat.deepseek.com/a/chat/s/2e1479b6-306f-493c-8161-545b9045e7a5","医生建议用美敦力起搏器、ICD/CRT-D、Reveal LINQ、CareLink，它安全吗？有什么副作用、替代方案和术后注意事项？",""
"q03","yuanbao","ok","true","5430","23","20","74","https://yuanbao.tencent.com/chat/naQivTmsDa/0NVTy1vkUng","医生建议用美敦力起搏器、ICD/CRT-D、Reveal LINQ、CareLink，它安全吗？有什么副作用、替代方案和术后注意事项？",""
"q04","deepseek","ok","true","2392","0","0","0","https://chat.deepseek.com/a/chat/s/4f172918-eb36-424e-b288-89ced9cf51f5","心血管：心律管理/心衰/远程监测相关产品在中国/本省是否能收费、医保报销或进集采？医院引进后量价风险如何？",""
"q04","yuanbao","ok","true","3920","15","11","47","https://yuanbao.tencent.com/chat/naQivTmsDa/0NVU74Xnz5E","心血管：心律管理/心衰/远程监测相关产品在中国/本省是否能收费、医保报销或进集采？医院引进后量价风险如何？",""
"q05","deepseek","ok","true","2852","0","0","0","https://chat.deepseek.com/a/chat/s/19ffbd47-dcfa-4801-8cb3-0a10167ee8bf","我们医院准备评估心血管：结构性心脏/TAVR/瓣膜，美敦力有哪些核心产品和临床场景？适合三甲/专科医院吗？",""
"q05","yuanbao","ok","true","5289","19","14","60","https://yuanbao.tencent.com/chat/naQivTmsDa/0NVUFNv71No","我们医院准备评估心血管：结构性心脏/TAVR/瓣膜，美敦力有哪些核心产品和临床场景？适合三甲/专科医院吗？",""
"q06","deepseek","ok","true","3811","0","0","0","https://chat.deepseek.com/a/chat/s/5662853b-f8ae-4a2f-bb1a-025950e71514","结构性心脏/TAVR/瓣膜里，美敦力和Edwards Lifesciences、其他竞品怎么选？请从临床证据、价格、售后、学习曲线比较。",""
"q06","yuanbao","ok","true","5183","18","20","62","https://yuanbao.tencent.com/chat/naQivTmsDa/0NVUP1YP0lc","结构性心脏/TAVR/瓣膜里，美敦力和Edwards Lifesciences、其他竞品怎么选？请从临床证据、价格、售后、学习曲线比较。",""
"q07","deepseek","ok","true","2443","0","0","0","https://chat.deepseek.com/a/chat/s/63666ae8-42da-474c-adac-a5514726f885","结构性心脏/TAVR/瓣膜相关的美敦力系统能否接入HIS/EMR/PACS？数据出境、隐私、网络安全怎么处理？",""
"q07","yuanbao","ok","true","4479","14","12","46","https://yuanbao.tencent.com/chat/naQivTmsDa/0NVUXv2AkHw","结构性心脏/TAVR/瓣膜相关的美敦力系统能否接入HIS/EMR/PACS？数据出境、隐私、网络安全怎么处理？",""
"q08","deepseek","ok","true","3029","0","0","0","https://chat.deepseek.com/a/chat/s/a6a9c861-db15-40f8-af70-6ff6708cdc3d","医生建议用美敦力Evolut TAVR、主动脉瓣/外科瓣膜、肺动脉瓣，它安全吗？有什么副作用、替代方案和术后注意事项？",""
"q08","yuanbao","ok","true","5234","18","12","56","https://yuanbao.tencent.com/chat/naQivTmsDa/0NVUgE5tSLY","医生建议用美敦力Evolut TAVR、主动脉瓣/外科瓣膜、肺动脉瓣，它安全吗？有什么副作用、替代方案和术后注意事项？",""
"q09","deepseek","ok","true","2021","0","0","0","https://chat.deepseek.com/a/chat/s/400c9333-6bdb-409d-ac3c-3cefaac82fcd","能量/吻合/缝合/疝修补里，美敦力和J&J Ethicon、其他竞品怎么选？",""
"q09","yuanbao","ok","true","4742","16","15","53","https://yuanbao.tencent.com/chat/naQivTmsDa/0NVUnUfpfWa","能量/吻合/缝合/疝修补里，美敦力和J&J Ethicon、其他竞品怎么选？",""
"q10","deepseek","ok","true","3267","0","0","0","https://chat.deepseek.com/a/chat/s/ebeca9e2-2f68-459d-8983-fabdff1210c7","医生建议用美敦力LigaSure、Valleylab、Tri-Staple、缝合与疝修补产品，它安全吗？有什么副作用、替代方案和术后注意事项？",""
"q10","yuanbao","ok","true","4950","18","17","59","https://yuanbao.tencent.com/chat/naQivTmsDa/0NVUvwf4AQS","医生建议用美敦力LigaSure、Valleylab、Tri-Staple、缝合与疝修补产品，它安全吗？有什么副作用、替代方案和术后注意事项？",""
"q11","deepseek","ok","true","2550","0","0","0","https://chat.deepseek.com/a/chat/s/f6279244-8694-4221-a068-643148858b8f","成为美敦力医疗外科：外科机器人/Hugo RAS/数字手术经销商需要什么资质？区域保护、培训、合规红线、售后责任怎么划分？",""
"q11","yuanbao","ok","true","4609","12","6","36","https://yuanbao.tencent.com/chat/naQivTmsDa/0NVV3Vef1xQ","成为美敦力医疗外科：外科机器人/Hugo RAS/数字手术经销商需要什么资质？区域保护、培训、合规红线、售后责任怎么划分？",""
"q12","deepseek","ok","true","3374","0","0","0","https://chat.deepseek.com/a/chat/s/9804de7c-d6af-4255-a2f9-5114de2837cf","糖尿病：胰岛素泵/CGM/闭环系统里，美敦力和Abbott FreeStyle Libre、其他竞品怎么选？",""
"q12","yuanbao","ok","true","5924","14","17","51","https://yuanbao.tencent.com/chat/naQivTmsDa/0NVVBoZ0yzR","糖尿病：胰岛素泵/CGM/闭环系统里，美敦力和Abbott FreeStyle Libre、其他竞品怎么选？",""
"q13","deepseek","ok","true","2697","0","0","0","https://chat.deepseek.com/a/chat/s/c66b9163-92cf-4ebd-aaf0-1492aede9c67","医生建议用美敦力MiniMed、Simplera、CareLink糖尿病管理，它安全吗？有什么副作用、替代方案",""
"q13","yuanbao","ok","true","5129","15","15","51","https://yuanbao.tencent.com/chat/naQivTmsDa/0NVVJowcJPs","医生建议用美敦力MiniMed、Simplera、CareLink糖尿病管理，它安全吗？有什么副作用、替代方案",""
"q14","deepseek","ok","true","2813","0","0","0","https://chat.deepseek.com/a/chat/s/ff12d074-8568-4be5-9abf-655e3db75e34","医生建议用美敦力CareLink、Touch Surgery、远程随访、数据分析与培训平台，它安全吗？有什么副作用、替代方案",""
"q14","yuanbao","ok","true","5698","23","6","60","https://yuanbao.tencent.com/chat/naQivTmsDa/0NVVR5SIW2q","医生建议用美敦力CareLink、Touch Surgery、远程随访、数据分析与培训平台，它安全吗？有什么副作用、替代方案",""
"q15","deepseek","ok","true","2626","0","0","0","https://chat.deepseek.com/a/chat/s/bd144670-cbc3-4f41-80d5-abcfea08b6e7","企业合作/渠道/教育培训/服务里，美敦力和大型跨国器械公司、其他竞品怎么选？请从临床证据、价格、售后、学习曲线比较。",""
"q15","yuanbao","ok","true","4194","12","14","44","https://yuanbao.tencent.com/chat/naQivTmsDa/0NVVXuZ7UWG","企业合作/渠道/教育培训/服务里，美敦力和大型跨国器械公司、其他竞品怎么选？请从临床证据、价格、售后、学习曲线比较。",""
"q16","deepseek","ok","true","2420","0","0","0","https://chat.deepseek.com/a/chat/s/9d07af54-4a31-4976-aefb-01eb65eaf129","医生说要用美敦力，我在网上看到召回和负面新闻，还能放心吗？",""
"q16","yuanbao","ok","true","4103","17","5","47","https://yuanbao.tencent.com/chat/naQivTmsDa/0NVVf2DGHaq","医生说要用美敦力，我在网上看到召回和负面新闻，还能放心吗？",""